,RandSimilar,MajorityVote,RandDifferent,MinorityVote,MajorCNN,MinorCNN,MajorWavelet,MinorWavelet,MajorJzAzBz,MinorJzAzBz,MajorRGB,MinorRGB,MajorIsBenchmark,MinorIsBenchmark
56,654811,9,288790,1,0.7182106313647342,0.5713308593113929,0.794642897816977,0.35055150656569023,0.2847497573151153,0.6279467959542596,0.2504461059908704,0.6016683194204394,True,False
57,291999,7,501108,6,0.5439945179479987,0.37387899457237794,0.18866878365516523,0.8700520552449253,0.5259440096381599,0.7754432612187584,0.6914384057967331,0.5258911729401052,False,False
58,805889,13,298356,3,0.5177762994856626,0.6666476824435315,0.4130685434775712,0.4334095420058282,0.6067141813451357,0.49480636593682614,0.5877597621590793,0.6475720620080921,False,False
59,500186,8,312252,8,0.6502195929758054,0.2971704873586618,0.855766139627363,0.8378496978367734,0.7112494277698114,0.6754590932544309,0.47069458986350204,0.603278709758527,True,False
60,314877,9,790180,7,0.7065937520458349,0.48843470444342413,0.4417467025020821,0.6510224202490816,0.562265961431655,0.7835165613461067,0.605515475468665,0.6033704642767056,False,False
61,500328,9,319030,4,0.4735018922599083,0.681052130396656,0.9688602203671554,0.910340356908139,0.6556584132674558,0.2953767099250073,0.38534009018011967,0.47527758557820554,False,True
62,184779,13,321879,2,0.6890701009133621,0.5395310255821177,0.8596034253819581,0.351048287046375,0.7690546781124695,0.5323710792405248,0.34016935941090953,0.6308762080652155,True,False
63,327069,9,135230,1,0.8717805601104285,0.3752292284950992,0.9689467446850232,0.772046188814756,0.4732489939344591,0.6669334767984972,0.3176333869851507,0.6092857433213447,True,False
64,20056,6,32711,5,0.4642335963052749,0.8257927941818586,0.8699807822524098,0.4930189124779301,0.5842015977447002,0.45760364460481684,0.38555174076151894,0.47860690598124783,False,False
65,328947,8,592673,7,0.7690793087820764,0.5462704338758787,0.7218937569839725,0.3548394205453614,0.6121260825078071,0.5310284673980702,0.5264006287489701,0.6114338284284462,True,False
66,235167,3,329365,3,0.8067920551624588,0.634855840642933,0.4453178233636702,0.5049149394919648,0.5373374102916318,0.5964285775743647,0.5728175907810316,0.6451740393981549,False,True
67,331236,13,924618,6,0.5629337131063532,0.4585363806455623,0.8431037875383374,0.8026035810884238,0.6211471390456955,0.5115776381492044,0.4311782181655645,0.591081526453375,True,False
68,347449,13,461243,1,0.7853814194831826,0.6038926250926137,0.9059539707350718,0.24154765597123415,0.5945149523792973,0.5754640526249875,0.5494523609813278,0.6944573061012302,True,False
69,349457,8,648143,3,0.8149191515409777,0.7827618175143196,0.8612205438908992,0.7159715844017921,0.6242260338923776,0.2522836506052087,0.4111722135893466,0.31476774038077016,True,True
70,269536,15,350605,1,0.7867713031949889,0.6180302843700489,0.4469060187144705,0.40092433098457547,0.7033154277348406,0.697313999317845,0.5780832205602453,0.7006515447699141,False,False
71,351279,10,618467,2,0.3801946441370013,0.47646338815214007,0.9456296891678763,0.8728077906688521,0.6415101507910179,0.8901300678367903,0.36469753851171005,0.458541617023135,False,False
72,364167,5,750201,5,0.6646164888617594,0.3930502687753332,0.4187893904985877,0.8301153323393978,0.6042147604730442,0.8790240106248617,0.5820262096706745,0.5573391616990908,False,False
73,231915,10,365838,6,0.45860171750811973,0.6053268003915224,0.8644462132505417,0.5399491574291716,0.5308487213187962,0.5216719061496687,0.31508229541246996,0.425525920344024,False,True
74,591723,13,365871,1,0.7532430699726794,0.25110857503372314,0.7842676823046778,0.7770893875453421,0.7283304049535655,0.757731096613371,0.412911690040541,0.6695555211177335,True,False
75,365890,8,564685,7,0.25861336526822887,0.40854748898126425,0.9028334377324347,0.7992368301478675,0.6018155053702645,0.6773998070526541,0.4074779841509191,0.5548504783489762,False,False
76,366326,14,175203,1,0.34373041613397526,0.7033427926988127,0.941085240806152,0.5719113399907523,0.7185777609791089,0.583857402034037,0.4934968764538536,0.45918926602885285,False,True
77,384681,10,650308,2,0.7517966598858453,0.33084604944165624,0.7151075063643755,0.6880845458169761,0.692655535425392,0.5977203079409115,0.5264061636033572,0.38415117509902447,True,False
78,385777,9,51663,1,0.3612630884692011,0.4600176148931584,0.9434160997675662,0.9460572589452564,0.7229772695417523,0.38968685484570165,0.3837641744391974,0.7144829770973872,False,False
79,39081,10,555839,0,0.487487142959103,0.7909487418938854,0.9019235319117965,0.15168741140967987,0.614488201587224,0.4722145093084896,0.2904268237383386,0.6828436657479057,False,False
80,400573,11,110268,2,0.5780639389788561,0.7101069969122691,0.472528602409266,0.6007860014167449,0.44965910519183905,0.4531070795785559,0.5278874127446416,0.41385613381880587,False,True
81,384681,13,41090,2,0.7517966598858453,0.6165675777706348,0.7151075063643755,0.9056511330544507,0.692655535425392,0.7561447663643843,0.5264061636033572,0.23639415960119856,True,True
82,416880,17,248710,6,0.3719724052652932,0.4741091940300439,0.9480496584335759,0.7563511861342962,0.8539501692081525,0.5871367728311647,0.5362926147212701,0.31300411378873744,False,False
83,420571,7,917040,4,0.7041869017577268,0.7128302038898655,0.40786376119791234,0.5666010619798544,0.535124686555232,0.6076891945297351,0.5204725987550705,0.582176367359938,False,True
84,421909,10,941970,0,0.7686693860945579,0.49426787693302104,0.9909112865844888,0.5553734413981603,0.5935366182674846,0.773724127454419,0.44721229251166755,0.6391441795834677,True,False
85,435564,9,435564,0,0.38025034460345825,0.38025034460345825,0.6977554670469379,0.6977554670469379,0.3616307358014307,0.3616307358014307,0.3787125653276791,0.3787125653276791,False,False
86,43585,12,743974,5,0.4902873312392635,0.7436592726575045,0.9031249530607173,0.45268439811832417,0.5047428786362065,0.5127484721286755,0.328624775075304,0.48089039519962923,False,False
87,214176,4,439792,3,0.5965793673224105,0.37814380709108836,0.361708262581377,0.8422324160206803,0.6834947952538688,0.5243755864203297,0.6681703134605306,0.32960742479176625,False,False
88,452366,4,941218,3,0.8360344069216127,0.49278459517387907,0.9112878553371832,0.9692976472126991,0.615978441468922,0.8089599438272741,0.27710999506012113,0.3882927001104057,True,False
89,319030,11,454351,1,0.681052130396656,0.6131184509657998,0.910340356908139,0.3854374298252524,0.2953767099250073,0.5774416830943843,0.47527758557820554,0.5701920897180988,True,False
90,171829,10,461243,1,0.5031239596185123,0.6038926250926137,0.43947629517172937,0.24154765597123415,0.7120989558366922,0.5754640526249875,0.7124165885361547,0.6944573061012302,False,False
91,473254,14,65725,0,0.9415257682447798,0.638926846986964,0.9800814824814815,0.964570227270919,0.4946473528129747,0.323702231412224,0.18431543958776592,0.5245487201026428,True,True
92,482690,6,519332,2,0.3232786137667169,0.4517344841742147,0.8455880125244128,0.809129058592346,0.746256669169573,0.6474716244078438,0.5034740131273086,0.4387673605782861,False,False
93,486232,9,197775,2,0.7606773218295269,0.6797162149576488,0.8170751705374472,0.38338716585094795,0.5265273277049117,0.5828057095689165,0.4721593240425339,0.5418433661768708,True,False
94,489492,8,131932,5,0.5269449070157339,0.6608562862715103,0.9546403815211748,0.8360598574230026,0.596763075557252,0.5821637901242789,0.6658902347480378,0.45148523204517077,True,True
95,491072,8,955592,2,0.3981587349763227,0.6055359093657431,0.9243028450479732,0.46759902215865856,0.7151610561466121,0.6932139290596466,0.5304421833888797,0.726665723811102,False,False
96,734965,5,500186,1,0.4047961746055733,0.6502195929758054,0.770527119785992,0.855766139627363,0.8002309036129908,0.7112494277698114,0.5656569934419096,0.47069458986350204,False,True
97,500328,7,125657,1,0.4735018922599083,0.4242222733111139,0.9688602203671554,0.9119438639340185,0.6556584132674558,0.44786513316646004,0.38534009018011967,0.41070427133960985,False,False
98,177247,9,501108,7,0.7147828784943832,0.37387899457237794,0.2891376651107131,0.8700520552449253,0.3797165375002151,0.7754432612187584,0.5779672878723824,0.5258911729401052,False,False
99,516349,15,593128,0,0.39099981951444907,0.5354833691755345,0.9416340755288801,0.2922424834990626,0.7575107062410998,0.5579319652422571,0.46519677461447645,0.6329372149256891,False,False
100,120151,11,51663,1,0.28541922994547264,0.4600176148931584,0.852557634577865,0.9460572589452564,0.6096156717433406,0.38968685484570165,0.4053128589313379,0.7144829770973872,False,False
101,191335,14,519332,1,0.46734551269327945,0.4517344841742147,0.9041107379989802,0.809129058592346,0.43641541316390775,0.6474716244078438,0.47057077499660216,0.4387673605782861,False,False
102,521430,11,660890,0,0.9692990834576708,0.7429644680351372,0.9979551861270829,0.48445375660952644,0.7723062002837024,0.3449878148588462,0.11011930939909247,0.4478372910708824,True,False
103,52528,12,681669,2,0.44502979077395616,0.574196881342921,0.9134608331178975,0.4861085422279128,0.8671374499837438,0.576397007978619,0.43979540949663204,0.5856591679920975,False,False
104,543176,8,527035,1,0.44330432245929013,0.6277648062139286,0.8966306471338231,0.8428213134732927,0.788289730751378,0.427342211200234,0.4937093718294922,0.36687205087413544,False,True
105,528178,7,671155,2,0.8637206150648072,0.32816311867837256,0.9342624824573216,0.8555868140456084,0.5552049341118741,0.4483104525429445,0.2567080814970281,0.6632334148420191,True,False
106,129981,19,529036,0,0.923966115330724,0.2400917660137719,0.9682208483280892,0.7949133766275204,0.7909751961757144,0.5049363548213635,0.2416237538972915,0.5441773938868691,True,False
107,536226,3,321879,2,0.6452877707787728,0.5395310255821177,0.24692997717508497,0.351048287046375,0.6049653213373177,0.5323710792405248,0.6738237855967464,0.6308762080652155,False,False
108,559042,7,539439,4,0.4994486617626721,0.48763072218446285,0.5900779626946198,0.5621587453859485,0.6582293628238561,0.7689813953514225,0.5948012357590928,0.6313470974010021,False,False
109,543176,10,690607,2,0.44330432245929013,0.2839020937094715,0.8966306471338231,0.8071813483633692,0.788289730751378,0.7868240193114707,0.4937093718294922,0.5616820893495963,False,False
110,54886,18,772838,0,0.8506784578561112,0.6511453857363881,0.9976697498189665,0.27721209609995145,0.7461092724646756,0.3810536859970746,0.2644895521227264,0.6303402593494346,True,False
